DATE,RGDPCHTWA625NUPN
1951-01-01,1234.76316
1952-01-01,1335.492226
1953-01-01,1419.481945
1954-01-01,1507.490917
1955-01-01,1564.294752
1956-01-01,1594.022519
1957-01-01,1652.083115
1958-01-01,1710.034892
1959-01-01,1792.387001
1960-01-01,1861.208122
1961-01-01,1916.005448
1962-01-01,2006.695287
1963-01-01,2142.551466
1964-01-01,2319.975265
1965-01-01,2507.507124
1966-01-01,2655.808894
1967-01-01,2871.823061
1968-01-01,3067.683053
1969-01-01,3263.994687
1970-01-01,3538.669522
1971-01-01,3901.349141
1972-01-01,4328.440705
1973-01-01,4756.823789
1974-01-01,4790.15538
1975-01-01,4932.359436
1976-01-01,5499.620132
1977-01-01,5972.251341
1978-01-01,6652.823287
1979-01-01,7071.556832
1980-01-01,7423.967077
1981-01-01,7745.965239
1982-01-01,7883.019407
1983-01-01,8408.944483
1984-01-01,9059.542401
1985-01-01,9262.837357
1986-01-01,10200.88173
1987-01-01,11237.94125
1988-01-01,11797.15575
1989-01-01,12819.23477
1990-01-01,13637.64972
1991-01-01,14624.69703
1992-01-01,15609.03802
1993-01-01,16511.99858
1994-01-01,17581.24137
1995-01-01,18542.17891
1996-01-01,19361.18841
1997-01-01,20329.75656
1998-01-01,20876.29155
1999-01-01,21907.7923
2000-01-01,23064.5485
2001-01-01,22261.43545
2002-01-01,23312.03253
2003-01-01,24090.16079
2004-01-01,25609.56667
2005-01-01,26692.99139
2006-01-01,28031.01347
2007-01-01,29567.09326
2008-01-01,29626.57675
2009-01-01,28819.19446
2010-01-01,32104.92001
